#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.052325563190e-05      -1.582099300470e-05      -1.186579420410e-05      -1.186579462231e-05      -1.582098514993e-05      -1.197822966550e-05       6.121503996983e-01       5.968575598119e-01 
       1.324799392981e-05      -2.507451844977e-05      -1.880601305139e-05      -1.880601410187e-05      -2.507449871951e-05      -1.898420971238e-05       6.121502042204e-01       5.968574282589e-01 
       1.667823621353e-05      -3.974027268183e-05      -2.980551652243e-05      -2.980551916114e-05      -3.974022312193e-05      -3.008793536680e-05       6.121499548709e-01       5.968572809963e-01 
       2.099665539312e-05      -6.298367517903e-05      -4.723854011844e-05      -4.723854674650e-05      -6.298355069116e-05      -4.768613414158e-05       6.121494801902e-01       5.968569644868e-01 
       2.643322303708e-05      -9.982136287165e-05      -7.486799079420e-05      -7.486800744363e-05      -9.982105017468e-05      -7.557735520461e-05       6.121487320442e-01       5.968564692965e-01 
       3.327745619701e-05      -1.582035937294e-04      -1.186576402643e-04      -1.186576820849e-04      -1.582028082875e-04      -1.197818459927e-04       6.121475287049e-01       5.968556643363e-01 
       4.189383524628e-05      -2.507292599137e-04      -1.880593659896e-04      -1.880594710358e-04      -2.507272870337e-04      -1.898409585583e-04       6.121456308457e-01       5.968543986803e-01 
       5.274121378906e-05      -3.973626704866e-04      -2.980532025456e-04      -2.980534664132e-04      -3.973577150581e-04      -3.008764510670e-04       6.121426189624e-01       5.968523896780e-01 
       6.639725428791e-05      -6.297361342541e-04      -4.723804684099e-04      -4.723811312151e-04      -6.297236876941e-04      -4.768540477355e-04       6.121378489537e-01       5.968492086650e-01 
       8.358919069641e-05      -9.979608644450e-04      -7.486674898357e-04      -7.486691547241e-04      -9.979296037043e-04      -7.557552037359e-04       6.121302754154e-01       5.968441527080e-01 
       1.052325563190e-04      -1.581401101066e-03      -1.186545232274e-03      -1.186549414252e-03      -1.581322592055e-03      -1.197772395310e-03       6.121182881195e-01       5.968361567750e-01 
